,user1,user2,weight,time_window
76,1487687390,469488146,87,iii
77,1087434954487795715,4774998749,86,iii
78,3042840742,1012893330,85,iii
79,2217674274,1063806444380798976,85,iii
80,1493603834,469488146,85,iii
81,1029709713670324224,1012893330,84,iii
82,1387916838,80200885,84,iii
83,1268606931213705217,114141144,84,iii
84,1248307267,1012893330,83,iii
85,1164984096554196995,80200885,83,iii
86,3431179509,4774998749,83,iii
87,363701163,1012893330,82,iii
88,4160203479,1063806444380798976,82,iii
89,1006859155481784323,4774998749,82,iii
90,2955103529,1365423529,82,iii
91,214090646,922049383436300288,81,iii
92,1135541672987844608,479810905,81,iii
93,3038103838,1063806444380798976,81,iii
94,1021876093157036033,1043499474289655808,81,iii
95,929359340326281217,797506411148312576,80,iii
96,2269099070,80200885,80,iii
97,432643889,479810905,80,iii
98,1062792614272008193,1012893330,79,iii
99,861671125033639941,1215813436719890432,79,iii
0,884023737745645572,69959408,636,iv
1,3030533474,18935802,609,iv
2,3676549834,469677548,536,iv
3,3155682418,126351209,535,iv
4,402000991,13514762,523,iv
5,1041031657896259584,2325890912,498,iv
6,216073612,16476536,487,iv
7,380869169,3066059530,449,iv
8,2823946108,27416420,444,iv
9,17629536,27416420,443,iv
10,701834822,27416420,442,iv
11,1111697667946659840,52424550,441,iv
12,3030533474,395218906,432,iv
13,797492340,56341776,431,iv
14,1298716939519328259,2451869940,430,iv
15,1050589128,732817452569141248,423,iv
16,1000144495499993089,1289758279250452480,423,iv
17,618244710,150725695,416,iv
18,424084271,1683455144,389,iv
19,589286587,52424550,377,iv
20,1341462944,317769975,372,iv
21,1062583370,331617619,342,iv
22,4858527059,58748101,332,iv
23,1234964406754332674,732817452569141248,323,iv
24,1345033794529714178,986811270,320,iv
25,436989962,1236533563,317,iv
26,1296484891551502336,1236533563,317,iv
27,1299087773601861632,1683455144,316,iv
28,307278565,52424550,312,iv
29,584701908,375155110,310,iv
30,986268867839385603,1216857073,307,iv
31,2280648054,25676606,298,iv
32,812789625462865920,1683455144,297,iv
33,440756482,121424128,295,iv
34,307278565,1072167411984551936,287,iv
35,1268953866,1148476160,283,iv
36,862970692958138368,245969509,283,iv
37,307278565,404064077,283,iv
38,1164078223,231902290,281,iv
39,967362048006000641,46224994,270,iv
40,1103360481341902854,395218906,269,iv
41,3084886731,1063806444380798976,269,iv
42,849990387255177220,17007782,267,iv
43,1234964406754332674,1216857073,260,iv
44,1282221813376978946,1063806444380798976,259,iv
45,1021332450893541376,2188079029,255,iv
46,1156225273928527872,331617619,251,iv
47,2435203469,231902290,251,iv
48,40708908,732817452569141248,250,iv
49,967362048006000641,14575613,247,iv
50,1192636619167322112,1289758279250452480,246,iv
51,1341462944,231902290,243,iv
52,2405837416,126351209,242,iv
53,3308422191,18935802,238,iv
54,1174780873075544069,1683455144,237,iv
55,510786998,150725695,233,iv
56,862970692958138368,1322629376421355521,232,iv
57,3676549834,126351209,230,iv
58,510786998,543774554,230,iv
59,307278565,543774554,228,iv
60,600136789,500882938,226,iv
61,3676549834,72248630,225,iv
62,555300363,475234937,224,iv
63,1111697667946659840,2983707267,224,iv
64,117701249,231902290,220,iv
65,273897097,1063806444380798976,219,iv
66,510786998,231902290,218,iv
67,589286587,2983707267,217,iv
68,385408308,14060262,211,iv
69,97948686,1683455144,210,iv
70,1168974246,732817452569141248,210,iv
71,510786998,18935802,206,iv
72,1244391379,2757051167,206,iv
73,503223395,1063628538,206,iv
74,563712100,732817452569141248,205,iv
75,59455690,2757051167,205,iv
76,965513960274452480,17007782,204,iv
77,307278565,828717014,202,iv
78,424084271,126351209,202,iv
79,2498940386,1161022078084112390,201,iv
80,581351225,732817452569141248,201,iv
81,2498940386,1063806444380798976,200,iv
82,967362048006000641,1216857073,197,iv
83,1444400034,469488146,196,iv
84,1316530940718481408,526530582,195,iv
85,407093504,404064077,195,iv
86,2388790596,412936122,191,iv
87,4702970784,2983707267,191,iv
88,2501386686,732817452569141248,190,iv
89,15073292,1683455144,188,iv
90,896687238410629120,331617619,186,iv
91,328473338,52424550,186,iv
92,2428589687,126351209,186,iv
93,750670310,732817452569141248,186,iv
94,1164078223,732817452569141248,184,iv
95,412936122,2388790596,184,iv
96,1241472625785942021,231902290,182,iv
97,897701751364743170,1683455144,181,iv
98,1867339218,1130580193591091208,180,iv
99,1089107530247221249,1063806444380798976,179,iv
0,1000144495499993089,1289758279250452480,742,v
1,1192636619167322112,1289758279250452480,640,v
2,1374129418793279491,628527048,420,v
3,1345033794529714178,986811270,363,v
4,701834822,27416420,357,v
5,17629536,27416420,357,v
6,2823946108,27416420,357,v
7,849990387255177220,17007782,352,v
8,1111697667946659840,52424550,349,v
9,424084271,1302616789348691968,343,v
10,1143175728046977024,628527048,338,v
11,141529750,1248216384577953792,332,v
12,1174780873075544069,1683455144,320,v
13,307278565,404064077,320,v
14,492602588,337767301,319,v
15,797492340,56341776,319,v
16,229160327,337767301,318,v
17,1249068072360697862,3318549610,312,v
18,380869169,3066059530,297,v
19,948578516982956035,331617619,295,v
20,1444400034,469488146,292,v
21,1298716939519328259,2451869940,291,v
22,1050589128,732817452569141248,290,v
23,589286587,52424550,283,v
24,884023737745645572,69959408,280,v
25,1701423990,2451869940,278,v
26,1258867179191259140,1683455144,272,v
27,424084271,1683455144,264,v
28,2367346314,422152255,264,v
29,1323883037709504513,1392726045082767360,262,v
30,1268953866,1148476160,257,v
31,1103360481341902854,395218906,256,v
32,57358236,141509471,256,v
33,1379066290921439234,1248216384577953792,255,v
34,1379066290921439234,1683455144,254,v
35,1261985035269308416,1302616789348691968,254,v
36,3084886731,1063806444380798976,248,v
37,3372869746,337767301,244,v
38,759428777793429505,245969509,240,v
39,216073612,16476536,239,v
40,1055863542023360512,1144737989593116674,239,v
41,706097800040357889,1302616789348691968,238,v
42,1701423990,732817452569141248,238,v
43,860027361504493568,469488146,235,v
44,776054274115723264,1350851479045877763,235,v
45,424084271,475234937,234,v
46,489331719,986811270,233,v
47,862970692958138368,245969509,231,v
48,3892072667,469488146,228,v
49,759428777793429505,1683455144,226,v
50,887707547284762624,469488146,225,v
51,2637882316,1216857073,217,v
52,440756482,121424128,217,v
53,1200761366224809985,337767301,216,v
54,1333106531093647364,469488146,215,v
55,4793120962,469488146,215,v
56,965513960274452480,17007782,213,v
57,224226820,337767301,212,v
58,3030533474,395218906,207,v
